id,create_date,rent_price,deposit,floor,area_total,rooms,region,agent_fee,date_only,repair_type_original,renovation_cosmetic,renovation_design,renovation_euro,renovation_no,renovation_unknown,price_for_m2,is_luxury_by_region,month_deposit,deposit_group,is_high_floor,renovation_score,is_small,is_large,is_studio,is_family,is_expensive_region,area_expensive,rooms_scaled,floor_scaled,rooms_x_floor
26,2021-12-06 08:40:52.367000+03:00,38000,38000.0,3,40.0,1,1,70.0,2021-12-06,euro,0,0,1,0,0,950.0,0,1.0,1,0,0.4,1,0,1,0,1,40.0,0.16666666666666666,0.037037037037037035,0.006172839506172839
27,2021-12-06 08:39:49.661000+03:00,60000,60000.0,3,56.0,2,1,50.0,2021-12-06,euro,0,0,1,0,0,1071.43,0,1.0,2,0,0.4,0,0,0,0,1,56.0,0.3333333333333333,0.037037037037037035,0.012345679012345678
28,2021-12-06 08:38:08.820000+03:00,58000,58000.0,4,57.0,3,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,1017.54,0,1.0,2,0,0.0,0,0,0,1,1,57.0,0.5,0.05555555555555555,0.027777777777777776
29,2021-12-06 08:37:24.723000+03:00,58000,58000.0,7,78.0,3,1,0.0,2021-12-06,unknown,0,0,0,0,1,743.59,0,1.0,2,0,0.0,0,0,0,1,1,78.0,0.5,0.1111111111111111,0.05555555555555555
30,2021-12-06 08:23:59.992000+03:00,40000,40000.0,14,38.0,1,1,100.0,2021-12-06,cosmetic,1,0,0,0,0,1052.63,0,1.0,1,0,0.0,1,0,1,0,1,38.0,0.16666666666666666,0.24074074074074073,0.040123456790123455
31,2021-12-06 08:13:55.115000+03:00,45000,45000.0,4,55.0,2,1,100.0,2021-12-06,cosmetic,1,0,0,0,0,818.18,0,1.0,1,0,0.0,0,0,0,0,1,55.0,0.3333333333333333,0.05555555555555555,0.018518518518518517
32,2021-12-06 08:13:08.929000+03:00,45000,45000.0,7,55.0,2,1,99.0,2021-12-06,euro,0,0,1,0,0,818.18,0,1.0,1,0,0.4,0,0,0,0,1,55.0,0.3333333333333333,0.1111111111111111,0.037037037037037035
33,2021-12-06 08:13:07.029000+03:00,45000,45000.0,7,52.0,2,1,0.0,2021-12-06,unknown,0,0,0,0,1,865.38,0,1.0,1,0,0.0,0,0,0,0,1,52.0,0.3333333333333333,0.1111111111111111,0.037037037037037035
34,2021-12-06 08:09:27.021000+03:00,55000,55000.0,2,75.0,3,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,733.33,0,1.0,2,0,0.0,0,0,0,1,1,75.0,0.5,0.018518518518518517,0.009259259259259259
35,2021-12-06 08:09:23.353000+03:00,55000,55000.0,1,60.0,2,1,99.0,2021-12-06,euro,0,0,1,0,0,916.67,0,1.0,2,0,0.4,0,0,0,0,1,60.0,0.3333333333333333,0.0,0.0
36,2021-12-06 08:09:22.339000+03:00,55000,55000.0,6,63.0,2,1,50.0,2021-12-06,euro,0,0,1,0,0,873.02,0,1.0,2,0,0.4,0,0,0,0,1,63.0,0.3333333333333333,0.09259259259259259,0.030864197530864196
37,2021-12-06 08:09:21.575000+03:00,55000,55000.0,1,56.0,2,1,50.0,2021-12-06,euro,0,0,1,0,0,982.14,0,1.0,2,0,0.4,0,0,0,0,1,56.0,0.3333333333333333,0.0,0.0
38,2021-12-06 08:09:20.435000+03:00,55000,55000.0,5,40.0,1,1,50.0,2021-12-06,design,0,1,0,0,0,1375.0,1,1.0,2,0,0.6,1,0,1,0,1,40.0,0.16666666666666666,0.07407407407407407,0.012345679012345678
39,2021-12-06 08:08:26.869000+03:00,50000,50000.0,5,54.0,2,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,925.93,0,1.0,1,0,0.0,0,0,0,0,1,54.0,0.3333333333333333,0.07407407407407407,0.024691358024691357
40,2021-12-06 08:08:24.142000+03:00,50000,50000.0,1,52.0,2,1,50.0,2021-12-06,euro,0,0,1,0,0,961.54,0,1.0,1,0,0.4,0,0,0,0,1,52.0,0.3333333333333333,0.0,0.0
41,2021-12-06 08:00:36.119000+03:00,47000,47000.0,5,45.0,2,1,99.0,2021-12-06,euro,0,0,1,0,0,1044.44,0,1.0,1,0,0.4,1,0,0,0,1,45.0,0.3333333333333333,0.07407407407407407,0.024691358024691357
43,2021-12-06 07:18:08.443000+03:00,60000,60000.0,3,48.0,2,1,30.0,2021-12-06,euro,0,0,1,0,0,1250.0,1,1.0,2,0,0.4,1,0,0,0,1,48.0,0.3333333333333333,0.037037037037037035,0.012345679012345678
44,2021-12-06 07:18:07.004000+03:00,60000,60000.0,3,61.0,2,1,70.0,2021-12-06,cosmetic,1,0,0,0,0,983.61,0,1.0,2,0,0.0,0,0,0,0,1,61.0,0.3333333333333333,0.037037037037037035,0.012345679012345678
